Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Periode : 12 Bulan""]), 10)",Chrome 131.0.0.0,"Verify Text ""Periode : 12 Bulan"" is Present",,17-01-2025 17:18:18,17-01-2025 17:18:18,0.269s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Penempatan : Kantor Pusat""]), 10)",Chrome 131.0.0.0,"Verify Text ""Penempatan : Kantor Pusat"" is Present",,17-01-2025 17:18:18,17-01-2025 17:18:19,0.275s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[2]""]))",Chrome 131.0.0.0,"Click ""Management Development Program"" Button",,17-01-2025 17:18:19,17-01-2025 17:18:19,0.353s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Management Development Program""]), 10)",Chrome 131.0.0.0,"Verify Text ""Management Development Program"" is Present",,17-01-2025 17:18:19,17-01-2025 17:18:19,0.294s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Management Development Program (MDP) merupakan program pengembangan yang dilakukan untuk mempersiapkan para lulusan muda menjadi calon pemimpin di BAF. Program ini ditujukan untuk calon pemimpin di Kantor Jaringan. Para peserta diberikan kesempatan untuk mempelajari hal baru dalam lingkup sektor pembiayaan. Melalui pelatihan intensif, On Job Training dan mentoring selama 18 bulan. Diharapkan dapat menghasilkan pemimpin muda yang berkualitas dan berkontribusi untuk memajukan perusahaan.""]), 10)",Chrome 131.0.0.0,"Verify Description Text ""Management Development Program"" is Present",,17-01-2025 17:18:19,17-01-2025 17:18:19,0.285s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Periode : 18 Bulan""]), 10)",Chrome 131.0.0.0,"Verify Text ""Periode : 18 Bulan"" is Present",,17-01-2025 17:18:19,17-01-2025 17:18:20,0.279s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Penempatan : Kantor Pusat dan Kantor Jaringan""]), 10)",Chrome 131.0.0.0,"Verify Text ""Penempatan : Kantor Pusat dan Kantor Jaringan"" is Present",,17-01-2025 17:18:20,17-01-2025 17:18:20,0.286s,PASSED
"click(findTestObject(""var_Content"", [""xpath"":""//body[1]/div[1]/main[1]/main[1]/div[1]/section[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[3]""]))",Chrome 131.0.0.0,"Click ""Corporate Development Program"" Button",,17-01-2025 17:18:20,17-01-2025 17:18:20,0.366s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Corporate Development Program""]), 10)",Chrome 131.0.0.0,"Verify Text ""Corporate Development Program"" is Present",,17-01-2025 17:18:20,17-01-2025 17:18:21,0.302s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Corporate Development Program (CDP) merupakan program pengembangan yang dilakukan untuk mempersiapkan para lulusan muda menjadi calon pemimpin di BAF. Program ini ditujukan untuk calon pemimpin di Kantor Jaringan. Para peserta diberikan kesempatan untuk mempelajari hal baru dalam lingkup sektor pembiayaan. Melalui pelatihan intensif, On Job Training dan mentoring selama 18 bulan. Diharapkan dapat menghasilkan pemimpin muda yang berkualitas dan berkontribusi untuk memajukan perusahaan.""]), 10)",Chrome 131.0.0.0,"Verify Description Text ""Corporate Development Program"" is Present",,17-01-2025 17:18:21,17-01-2025 17:18:21,0.285s,PASSED
"verifyElementPresent(findTestObject(""lbl_Content"", [""text"":""Periode : 18 Bulan""]), 10)",Chrome 131.0.0.0,"Verify Text ""Periode : 18 Bulan"" is Present",,17-01-2025 17:18:21,17-01-2025 17:18:21,0.296s,PASSED
